Propietario,direccion,TextoReclamo,ValorReclamo,idParcela,Valuacion_Danios,Validado
,,"Pa' Volterra Seguros,

Mi nombre es Eulalia Cámara Calvo, dueña de un terreno en Altos de San Antonio, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Les escribo pa' contarles sobre un incidente que pasó en mi propiedad y pedirles una indemnización.

Hace unos días, un incendio forestal jodió mi terreno, causando daños grosos en la estructura de mi parcela urbana. Por suerte, no había construcciones en el terreno, pero el fuego dejó el lugar hecho percha y voy a tener que hacer laburos de limpieza y reparación.

La localidad de Villa Carlos Paz y el departamento de Punilla han sido afectados por este incendio, y mi propiedad no fue la excepción. Estoy pidiendo una indemnización por el valor de $43.225.494 para cubrir los gastos de reparación y restauración del terreno.

Les agradezco que le den bola a este asunto y espero una respuesta rapidito de su parte.

Saludos cordiales,

Eulalia Cámara Calvo.",43225494.41,2448948-SAN ROQUE,,
Adalberto Leandro Chacón Morcillo," Pucará, Comuna de Tala Huasi, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Para los distinguidos representantes de SierraVolt Energética Limitada,

Nos ponemos en contacto con ustedes como abogados representantes de nuestro cliente, el Sr. Adalberto Leandro Chacón Morcillo, dueño de un terreno situado en Pucará, Comuna de Tala Huasi, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina.

Queremos comunicarles que nuestro cliente ha experimentado daños considerables en su propiedad a causa de un reciente incendio forestal. El terreno afectado es de carácter urbano y se ubica en la localidad de Cuesta Blanca, dentro del departamento de Punilla. Es importante mencionar que, de acuerdo a nuestros registros, no existen construcciones en la propiedad.

Debido a que la vegetación del terreno ha sido seriamente dañada por el incendio, nuestro cliente se ve obligado a presentar una reclamación por el monto de $34.950.963, que corresponde a la pérdida sufrida.

Pedimos a SierraVolt Energética Limitada que analice la situación y realice el pago correspondiente a nuestro cliente, el Sr. Adalberto Leandro Chacón Morcillo, lo antes posible.

Agradecemos de antemano su cooperación y atención en este asunto. Esperamos su pronta respuesta y nos encontramos a su disposición para cualquier consulta o información adicional que necesiten.

Cordialmente,


Abogado
Estudio Jurídico 
Córdoba, Argentina.",34950963.42,1136653-SAN ROQUE,,
Edgardo del Calderon," San Antonio, Municipio de Bialet Massé, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Apreciados representantes de SierraVolt Energética Limitada,

Nos ponemos en contacto con ustedes como representantes legales de nuestro cliente, el Sr. Edgardo del Calderón, dueño de un terreno situado en San Antonio, Municipio de Bialet Massé, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina.

Mediante esta carta, queremos comunicarles que nuestro cliente ha experimentado daños considerables en su propiedad a raíz de un incendio forestal reciente. La situación ha causado un impacto emocional y psicológico notable en el Sr. del Calderón, afectando su calidad de vida y bienestar en general.

El terreno en cuestión es de carácter urbano y se ubica en la localidad de San Roque, dentro del departamento de Punilla. Es importante mencionar que la parcela es baldía, o sea, no posee construcciones registradas al momento del siniestro.

Teniendo en cuenta el contexto y las circunstancias señaladas, nuestro cliente requiere una indemnización por los perjuicios sufridos en su propiedad, cuyo importe asciende a la suma de $234.095 pesos argentinos. Este monto ha sido estimado considerando la magnitud de los daños y el impacto emocional que ha ocasionado en el Sr. del Calderón.

Agradecemos su atención y aguardamos una respuesta pronta por parte de SierraVolt Energética Limitada para solucionar esta situación de forma satisfactoria para nuestro cliente. Nos encontramos a su disposición para suministrar cualquier información adicional que sea requerida y para llevar a cabo las negociaciones correspondientes.

Cordialmente,


Abogado
Estudio Jurídico Pérez & Asociados
Córdoba, Argentina",234095.79,1141206-SAN ROQUE,,
Marisol Abella Giralt," Alejandro Magno, La Quinta 2°, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Para los distinguidos representantes de SierraVolt Energética Limitada,

Nos dirigimos a ustedes en esta ocasión como abogados de la Sra. Marisol Abella Giralt, dueña de un predio situado en Alejandro Magno, La Quinta 2°, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina.

El motivo de nuestro contacto es para formalizar una queja por los daños y perjuicios sufridos en la propiedad de la Sra. Abella Giralt, a raíz de un incendio forestal que recientemente azotó la región. El terreno en cuestión es de naturaleza rural y, de acuerdo a nuestros archivos, no posee construcciones.

Nuestra representada, la Sra. Abella Giralt, ha experimentado una pérdida considerable en la vegetación de su propiedad, lo que ha repercutido de manera negativa en el valor del terreno y en su potencial productivo. Por ende, solicitamos una compensación por un total de $298.495.787, suma que consideramos justa para resarcir los daños padecidos.

Apreciamos su atención a este asunto y aguardamos una respuesta pronta de parte de SierraVolt Energética Limitada. En caso de no obtener una respuesta satisfactoria en un tiempo razonable, nos veremos forzados a tomar las acciones legales correspondientes para proteger los derechos e intereses de la Sra. Abella Giralt.

Sin más que agregar, nos despedimos cordialmente.

Lic. 
Estudio Jurídico 
Córdoba, Argentina.",298495787.67,1134791-SAN ROQUE,,
María Pilar Guerra-Cámara,"Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina","A los señores de SierraVolt Energética Limitada,

Me dirijo a ustedes en calidad de apoderado legal de la señora María Pilar Guerra-Cámara, dueña de un terreno urbano situado en la Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina.

Desafortunadamente, la propiedad de mi representada ha padecido daños considerables a raíz de un incendio forestal reciente. Aunque la parcela no posee construcciones (tal como figura en los registros como EDIFICADO NoPH), los gastos vinculados a la evacuación y las medidas de seguridad requeridas para resguardar la integridad física de mi cliente y su propiedad han sido significativos.

En consecuencia, en representación de la señora Guerra-Cámara, presentamos de manera oficial una reclamación por la suma de $121.816.362 pesos argentinos. Este monto refleja los costos sostenidos durante el proceso de evacuación, así como los gastos relacionados con la limpieza y restauración del terreno.

Rogamos que esta reclamación sea tramitada con la mayor rapidez posible, debido a la premura de la situación y la necesidad de mi representada de retomar la normalidad en su vida.

Desde ya, agradecemos su atención a este tema y aguardamos su pronta respuesta.

Cordialmente,



Representante legal de María Pilar Guerra-Cámara.",121816362.79,2137473-SANTIAGO,,
Inocencio de Arias," Boulevar Achala, Comuna de Tala Huasi, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Estimados miembros de SierraV Segura,

Soy Inocencio de Arias, dueño de un terreno urbano situado en Boulevar Achala, Comuna de Tala Huasi, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Me comunico con ustedes con mucha preocupación y pesar a raíz de los perjuicios ocasionados en mi propiedad por un reciente incendio forestal.

Desafortunadamente, el fuego ha provocado daños considerables en la estructura de mi terreno, y si bien no había construcciones en el sitio, el alcance de la devastación es notable. La localidad de Cuesta Blanca, donde se halla mi propiedad, ha sido seriamente afectada por este siniestro natural.

Ya que mi póliza de seguro con SierraV Segura ampara este tipo de situaciones, me encuentro en la obligación de solicitar el pago correspondiente por los daños padecidos. El importe que reclamo asciende a $34.373.152 pesos argentinos, suma que estimo necesaria para efectuar las reparaciones y restauraciones pertinentes en mi terreno.

Les agradezco de antemano su atención y comprensión en estos momentos difíciles. Aguardo su pronta respuesta y las instrucciones para avanzar en el proceso de reclamación.

Cordialmente,

Inocencio de Arias.",34373152.44,1136526-SAN ROQUE,,
Anacleto Rocha Fabregat,"Villa Carlos Paz, Municipio de San Antonio de Arredondo, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Apreciados representantes de SierraVolt Energética Limitada,

Nos ponemos en contacto con ustedes como representantes legales de nuestro cliente, el Sr. Anacleto Rocha Fabregat, dueño de un terreno situado en Villa Carlos Paz, Municipio de San Antonio de Arredondo, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. El propósito de esta comunicación es presentar una reclamación por los perjuicios sufridos en la propiedad de nuestro cliente a causa de un reciente incendio forestal.

El terreno mencionado es de carácter urbano y posee construcciones en régimen de propiedad horizontal. La localidad afectada es San Antonio de Arredondo, que forma parte del departamento de Punilla. Debido al incendio, la propiedad de nuestro cliente ha experimentado la destrucción parcial de sus edificaciones y la pérdida considerable de su vegetación, lo que ha generado un impacto negativo en el valor y la funcionalidad del terreno.

En base a lo expuesto y de acuerdo con las leyes y regulaciones vigentes, nuestro cliente solicita una indemnización por los daños y perjuicios causados en su propiedad. El monto reclamado asciende a la suma de $19.053.258 (diecinueve millones cincuenta y tres mil doscientos cincuenta y ocho pesos argentinos).

Agradecemos su pronta atención a este asunto y aguardamos su respuesta para avanzar en la resolución de esta situación. Si requieren información adicional o documentación de respaldo, por favor no duden en comunicarse con nuestra firma.

Cordialmente,

Abogado
Estudio Jurídico
Córdoba, Argentina",19053258.13,1139103-SAN ROQUE,,
,,"Para los Estimados de Volterra Seguros,

Soy Ana Belén Pujol Oliveras, dueña de un terreno en la Comuna de Cuesta Blanca, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Me dirijo a ustedes para comunicarles acerca de un suceso que tuvo lugar en mi propiedad y solicitar una compensación por los daños padecidos.

Hace poco, un incendio forestal azotó la región de Cuesta Blanca y, desafortunadamente, mi terreno no se salvó. El fuego consumió gran cantidad de la vegetación y árboles que adornaban mi parcela urbana. A pesar de que no había edificaciones en el sitio, el paisaje quedó arruinado y perdió mucho de su valor estético.

Por ende, deseo presentar una reclamación por un total de $18.203.183, monto que considero suficiente para cubrir los costos de restauración del paisaje y la reforestación necesaria para devolverle el esplendor a mi propiedad.

Desde ya, agradezco su atención a este asunto y aguardo su respuesta a la brevedad.

Cordialmente,

Ana Belén Pujol Oliveras.",18203183.9,1136155-SAN ROQUE,,
Baudelio Alcázar Carpio,"Municipio de Tanti, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Pa' los representantes de SierraV Segura,

Soy Baudelio Alcázar Carpio, dueño de un terreno urbano en Municipio de Tanti, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Les escribo con mucha preocupación y angustia por los daños que sufrió mi propiedad a raíz de un incendio forestal reciente.

A pesar de que mi terreno está baldío, sin edificaciones, el impacto emocional que este suceso ha causado en mí y en mi familia es enorme. La situación nos dejó con una sensación de inseguridad y miedo, ya que nunca pensamos que algo así podría pasar en nuestro querido Tanti.

Por la magnitud de los daños y el efecto psicológico que ha tenido en nuestras vidas, me veo obligado a presentar un reclamo a su compañía de seguros, SierraV Segura, por un total de $84.105. Ojalá puedan entender la seriedad de la situación y darnos el apoyo necesario pa' salir adelante en este momento difícil.

Desde ya, agradezco su atención y colaboración en este tema. Espero su respuesta prontito y las indicaciones pa' seguir con el proceso de reclamo.

Saludos cordiales,

Baudelio Alcázar Carpio",84105.42,1160108-SANTIAGO,,
,,"Pa' Volterra Seguros,

Soy Artemio Carrera Uriarte, dueño de un terreno en San Antonio de Arredondo, Departamento Punilla, Córdoba. La dirección exacta es Suboficial Ayudante PM Marizza, Municipio de San Antonio de Arredondo, Pedanía San Roque, Córdoba, X5166, Argentina. Les escribo pa' contarles sobre un incidente que pasó en mi propiedad.

Hace unos días, un incendio forestal jodió la zona y mi terreno no se salvó. Por esto, mi parcela urbana sufrió daños jodidos por el hollín y las cenizas que se juntaron en el lugar. Por suerte, no había construcciones en el terreno, pero los daños se ven y necesitan una limpieza y restauración como la gente.

Entonces, me gustaría hacer un reclamo por el monto de $25.345.062 pa' cubrir los gastos de limpieza y reparación de mi propiedad. Agradezco que le den bola a este asunto y espero que lo podamos solucionar rápido y bien.

Espero su respuesta prontito.

Saludos,

Artemio Carrera Uriarte.",25345062.06,1140483-SAN ROQUE,,
,,"Apreciados miembros de Aseguradora del Norte,

Me presento, soy Elisa Herrera Padilla, dueña de un terreno situado en Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Me pongo en contacto con ustedes para realizar una reclamación por los perjuicios ocasionados en mi propiedad a raíz de un incendio forestal reciente.

El terreno mencionado es de carácter urbano y, desafortunadamente, se halla en condición de baldío, sin edificaciones registradas. La situación se volvió crítica y, en consecuencia, tuve que efectuar una evacuación de emergencia, la cual resultó ser bastante onerosa.

Debido a que mi póliza de seguro ampara este tipo de sucesos, requiero el reembolso de los gastos afrontados durante la evacuación, los cuales alcanzan un monto total de $31.122.069 pesos argentinos. Junto a esta comunicación, hallará la documentación necesaria que avala los gastos efectuados.

Les agradezco de antemano su atención y cooperación en este tema. Aguardo su pronta respuesta y las indicaciones correspondientes para llevar adelante el proceso de reclamo.

Cordialmente,

Elisa Herrera Padilla
Dueña del terreno en Villa Carlos Paz, Departamento Punilla, Córdoba",31122069.94,2449050-SAN ROQUE,,
,,"Pa' los representantes de Aseguradora del Norte,

Les habla Rita Gracia Roig, dueña de un terreno en Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina. Les escribo pa' hacerles una reclamación por los daños que sufrió mi propiedad por culpa de un incendio forestal que hubo hace poco.

El terreno es urbano y, lamentablemente, está baldío, sin ninguna construcción registrada. El lugar afectado es Villa Icho Cruz, que pertenece al departamento de Punilla. Por el incendio, el paisaje de mi propiedad quedó muy dañado, lo que hizo que su valor y la calidad de vida de la zona se vean afectados.

Teniendo en cuenta lo que les conté, les pido a Aseguradora del Norte que evalúen mi reclamo y me indemnicen con un monto aproximado de $19.271.828, que creo que es justo pa' cubrir los daños que sufrió mi terreno.

Desde ya, les agradezco su atención y colaboración en este tema. Espero su respuesta rápida y las indicaciones que necesito pa' seguir con el proceso de reclamación.

Saludos cordiales,

Rita Gracia Roig",19271828.5,1204472-SAN ROQUE,,
,,"Para los distinguidos representantes de Aseguradora del Norte,

Me presento, soy Anselma Azcona, dueña de un terreno situado en Camino a Estancia Cáceres, Municipio de Cabalango, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Me pongo en contacto con ustedes con el objetivo de realizar una reclamación por los perjuicios ocasionados en mi propiedad a causa de un reciente incendio forestal.

El predio en cuestión es de carácter rural y, de acuerdo a los registros, no posee construcciones (EDIFICADO NoPH). Desafortunadamente, a causa del incendio, he debido enfrentar gastos médicos por las secuelas que este siniestro ha dejado en mi salud. Por ende, me encuentro en la necesidad de solicitar una indemnización por un valor de $587.340.296 pesos argentinos, que abarque los costos de internación y tratamiento médico que he tenido que afrontar.

Les agradezco de antemano su atención y comprensión en estos momentos difíciles. Aguardo su pronta respuesta y las instrucciones correspondientes para llevar adelante el proceso de reclamación.

Cordialmente,

Anselma Azcona
Dueña del terreno en Departamento Punilla, Córdoba.",587340296.2,1134792-SAN ROQUE,,
Apolinar Feliu-Chaves," Gualeguay, Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina","Pa' los representantes de SierraV Segura,

Soy Apolinar Feliu-Chaves, dueño de un terreno urbano en Villa Icho Cruz, departamento Punilla, Córdoba. Les escribo preocupado por los daños causados por un incendio forestal reciente en mi propiedad, situada en Gualeguay, Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina.

Desgraciadamente, el fuego ha dañado seriamente la madera y los árboles de mi terreno, generando pérdidas importantes. Aunque no hay edificaciones en la propiedad, la destrucción de la vegetación y el paisaje natural es un golpe emocional y económico pa' mí y mi familia.

Así que, me veo obligado a presentar un reclamo por la suma de $23.479.549, que creo que es una estimación justa pa' cubrir los daños sufridos en mi propiedad. Confío en que SierraV Segura evaluará mi situación de manera justa y a tiempo, dándome el apoyo necesario pa' salir adelante en este difícil momento.

Desde ya, agradezco su atención y colaboración en este tema. Espero su pronta respuesta y resolución.

Saludos cordiales,

Apolinar Feliu-Chaves.",23479549.13,1202316-SAN ROQUE,,
,,"Para los distinguidos representantes de Aseguradora del Norte,

Me presento, soy Sebastián Carbó Leon, dueño de un terreno urbano situado en la Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina. Me pongo en contacto con ustedes para presentar una reclamación de seguro debido a un lamentable suceso que tuvo lugar recientemente en mi propiedad.

Hace un tiempo, mi propiedad sufrió un incendio forestal arrasador que provocó daños considerables. Aunque agradezco que no se hayan producido daños en ninguna estructura construida en la propiedad, lamento comunicarles que la fauna y las mascotas que vivían en mi terreno no corrieron la misma suerte.

El fuego, con su fuerza y velocidad, no solo devastó la vegetación, sino que también afectó a los animales que considero una parte esencial de mi hogar. Estos animales, algunos de los cuales eran mascotas muy queridas, no solo tenían un valor emocional inestimable, sino que también representaban una inversión financiera importante.

Por lo tanto, me veo obligado a presentar una reclamación por el valor de $54.437.518, que considero una estimación justa y precisa del valor de los animales perdidos en este trágico incidente.

Comprendo que este es un proceso que puede llevar tiempo y requerir más detalles. Estoy dispuesto a proporcionar cualquier documentación adicional o información que pueda ser necesaria para procesar esta reclamación.

Agradezco de antemano su atención a este asunto y espero una resolución favorable.

Con respeto,

Sebastián Carbó Leon
Dueño",54437518.46,1204181-SAN ROQUE,,
Adán Sedano," Ayacucho Oeste, El Canal, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Apreciados representantes de SierraV Segura,

Soy Adán Sedano, dueño de un terreno urbano situado en Ayacucho Oeste, El Canal, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Me comunico con ustedes con mucha preocupación y pesar a raíz de los perjuicios ocasionados en mi propiedad por un reciente incendio forestal.

Desafortunadamente, las llamas y el humo han dejado secuelas en mi terreno, y si bien no había edificaciones en él, la flora y el suelo han resultado seriamente dañados. La situación es desalentadora y me siento enormemente afligido por lo sucedido.

Teniendo en cuenta que mi póliza de seguro con SierraV Segura ampara este tipo de siniestros, quisiera presentar un reclamo por el monto de $17.253.970, que estimo necesario para efectuar las tareas de limpieza, recuperación y reforestación de mi terreno en Villa Carlos Paz, Departamento Punilla.

Les agradezco de antemano su atención y comprensión en estos momentos difíciles. Aguardo su pronta respuesta y las instrucciones para proseguir con el trámite de reclamo.

Cordialmente,

Adán Sedano
Dueño en Villa Carlos Paz, Departamento Punilla, Córdoba.",17253970.46,2133509-SAN ROQUE,,
Maribel Camino Herranz," Los Nogales, Comuna de Mayu Sumaj, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina","Apreciados representantes de SierraVolt Energética Limitada,

Nos ponemos en contacto con ustedes en nuestro carácter de apoderados legales de la Sra. Maribel Camino Herranz, dueña de un terreno situado en Los Nogales, Comuna de Mayu Sumaj, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina. El propósito de esta comunicación es presentar una demanda por los daños y perjuicios causados a la propiedad de nuestra representada a raíz de un reciente incendio forestal.

El terreno en cuestión es de carácter urbano y se ubica en la localidad de Villa Icho Cruz, perteneciente al departamento de Punilla. De acuerdo a nuestros registros, no se han detectado construcciones en el predio (EDIFICADO NoPH). La Sra. Camino Herranz ha experimentado pérdidas considerables en su actividad agrícola a causa del citado incendio, lo que ha impactado seriamente su sustento económico y el valor de su propiedad.

En virtud de lo expuesto, requerimos a SierraVolt Energética Limitada el reconocimiento y abono de una indemnización por un importe de $135.760.627 pesos argentinos, en concepto de compensación por los perjuicios padecidos en la propiedad de nuestra representada.

Agradecemos su pronta atención a este asunto y aguardamos su respuesta. De no obtener una contestación satisfactoria en un plazo adecuado, nos veremos en la necesidad de emprender las acciones legales pertinentes para proteger los derechos e intereses de nuestra representada.

Sin más, nos despedimos cordialmente.

Lic.
Estudio Jurídico
Córdoba, Argentina.",135760627.45,1205394-SANTIAGO,,
Mónica Llobet Aragonés,"Altos de San Antonio, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Estimados miembros de SierraV Segura,

Me presento, soy Mónica Llobet Aragonés, dueña de un terreno urbano ubicado en Altos de San Antonio, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Les escribo preocupada por los perjuicios ocasionados en mi propiedad debido a un reciente incendio forestal.

Desafortunadamente, el fuego ha provocado daños considerables en la infraestructura de mi terreno, dejándolo prácticamente en ruinas. La situación me desanima mucho, ya que he dedicado tiempo y esfuerzo en cuidar y mejorar mi propiedad en Villa Carlos Paz.

Por ende, quisiera presentar una reclamación por la suma de $33.740.450, monto que estimo adecuado para afrontar los costos de reparación y reconstrucción necesarios para restaurar mi terreno a su condición original.

Desde ya, agradezco su atención y empatía en estos momentos difíciles. Aguardo ansiosa su respuesta y las instrucciones correspondientes para avanzar en el proceso de reclamo.

Cordialmente,

Mónica Llobet Aragonés.",33740450.26,2448918-SAN ROQUE,,
Sigfrido Pinto Iglesias," Los Gigantes, Miguel Muñoz B, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Pa' los representantes de SierraV Segura,

Acá les habla Sigfrido Pinto Iglesias, dueño de un terreno urbano en Los Gigantes, Miguel Muñoz B, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Les escribo con mucha preocupación por un incendio forestal que ha pegado fuerte en mi propiedad.

La verdad es que las llamas han hecho un desastre en mi terreno, y aunque no había construcciones ahí, la vegetación y el suelo están re mal. La situación me tiene bajoneado, y necesito pedirles una indemnización por todo el daño que me han hecho.

Mirando bien las cosas, quiero hacer un reclamo por $22.398.433, que me parece un monto justo pa' compensar los daños en mi propiedad en Villa Carlos Paz, Departamento Punilla.

Desde ya les agradezco por escucharme y entender en este momento tan jodido. Espero su respuesta rápida y las indicaciones pa' seguir con el proceso de reclamo.

Saludos cordiales,

Sigfrido Pinto Iglesias.",22398433.19,1170131-SANTIAGO,,
Roxana Heras Izquierdo,"729 Cuchilla Nevada, Colinas, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","A los estimados representantes de SierraV Segura,

Me presento, soy Roxana Heras Izquierdo, dueña de un terreno urbano situado en 729 Cuchilla Nevada, Colinas, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Les escribo con profundo pesar y preocupación a raíz de un reciente suceso que ha impactado seriamente mi propiedad.

Hace un tiempo, un voraz incendio forestal se originó cerca de mi terreno. Pese a los intentos de los bomberos y las autoridades locales por controlarlo, las llamas llegaron a mi propiedad, provocando daños considerables. Si bien no había construcciones en el terreno, la vegetación y la calidad del suelo han padecido un perjuicio irreparable.

El monto de mi reclamo asciende a $19.702.667, cifra que estimo justa y adecuada para afrontar los gastos de limpieza, recuperación del suelo y replantación de la flora autóctona. Comprendo que se trata de un proceso extenso y oneroso, pero estoy decidida a devolverle a mi terreno su estado original.

Confío en que SierraV Segura, como mi aseguradora, me brindará apoyo en estos difíciles momentos. Les agradezco de antemano su atención en este asunto y aguardo una resolución favorable.

Cordialmente,

Roxana Heras Izquierdo
Dueña, Villa Carlos Paz, Córdoba",19702667.98,1174838-SAN ROQUE,,
,,"Pa' Volterra Seguros,

Acá les habla Silvestre Malo Arellano, dueño de un terreno en Villa Carlos Paz, Departamento Punilla, Córdoba. Les escribo pa' hacerles una reclamación por los daños que sufrió mi parcela urbana, que está en El Nilo, Miguel Muñoz B, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina.

Hace poco, un incendio forestal pegó fuerte en la zona y, por eso, mi terreno sufrió daños jodidos. Aunque no tengo construcciones ahí, la tierra quedó re' mal y perdió un montón de su valor.

Así que les pido que me indemnicen por la suma de $13.804.902, que es lo que se calcula que vale el daño que me hicieron con el siniestro. Les agradezco de antemano su atención y espero que puedan solucionar mi reclamo lo más rápido posible.

Saludos,

Silvestre Malo Arellano.",13804902.48,2375179-SANTIAGO,,
Esteban Nogués Garriga," Avenida Carrega Núñez (S431), Comuna de Tala Huasi, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Apreciados representantes de SierraVolt Energética Limitada,

Nos ponemos en contacto con ustedes como representantes legales de nuestro cliente, el Sr. Esteban Nogués Garriga, dueño de un terreno situado en Avenida Carrega Núñez (S431), Comuna de Tala Huasi, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. La parcela en cuestión es de carácter urbano y se halla en la localidad de Cuesta Blanca, dentro del departamento de Punilla.

Desafortunadamente, nuestro cliente ha padecido daños considerables en su propiedad a causa de un incendio forestal reciente en la zona. A consecuencia de este desastre, se han generado perjuicios de diversa índole, incluyendo la destrucción parcial de infraestructuras y el deterioro de la vegetación aledaña. Es importante mencionar que, de acuerdo a nuestros registros, la parcela no posee edificaciones de tipo NoPH.

En base a lo expuesto, y de acuerdo a las pólizas de seguro en vigor, el Sr. Nogués Garriga requiere el pago de una indemnización por un monto total de $47.895.960 pesos argentinos, con el objetivo de sufragar los gastos de reparación y restauración de su propiedad.

Agradecemos su rápida atención a este reclamo y aguardamos su respuesta para continuar con la resolución de este caso. Por favor, no duden en comunicarse con nosotros si necesitan información adicional o documentación relevante.

Cordialmente,

Dr. Juan Pérez González
Abogado
Bufete de Abogados Pérez & Asociados
Córdoba, Argentina",47895960.69,1135359-SANTIAGO,,
Severo Gascón Bonet," Los Nogales, Comuna de Mayu Sumaj, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina","Para los estimados representantes de SierraV Segura,

Me presento, soy Severo Gascón Bonet, dueño de un terreno urbano en Villa Icho Cruz, Departamento Punilla, Córdoba. Les escribo con mucha preocupación a raíz de un incendio forestal que ha perjudicado mi propiedad situada en Los Nogales, Comuna de Mayu Sumaj, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina.

Desafortunadamente, el terreno estaba desocupado, sin edificaciones, y el incendio ha provocado daños considerables en la vegetación y el suelo. Debido a este desastre, he debido enfrentar gastos de hospitalización por problemas respiratorios ocasionados por el humo y las cenizas. Me encuentro en la necesidad de pedir el reembolso de estos gastos, que alcanzan un total de $4.638.784.

Les agradezco de antemano su atención y comprensión en estos momentos difíciles. Espero recibir su pronta respuesta y colaboración para solucionar este problema.

Cordialmente,

Severo Gascón Bonet.",4638784.68,1205375-SAN ROQUE,,
,,"Apreciados miembros de Aseguradora del Norte,

Me presento, soy Jacinto Alegre Piquer, dueño de un terreno situado en Los Jazmines, Comuna de Villa Parque Siquiman, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Me comunico con ustedes con el propósito de elevar una queja por los perjuicios padecidos en mi propiedad a raíz de un reciente incendio forestal.

El lote en cuestión es de carácter urbano y, desafortunadamente, estaba desocupado al momento del siniestro. La localidad damnificada es Villa Parque Siquiman, que forma parte del departamento de Punilla en la provincia de Córdoba.

A causa de la envergadura del incendio y los perjuicios ocasionados, me veo en la obligación de pedir una compensación por el monto de $406.818 pesos argentinos. Este número simboliza el costo calculado para restaurar y recuperar el terreno, así como para afrontar las repercusiones negativas que este desastre ha originado en el mercado inmobiliario local.

Les agradezco de antemano su atención y cooperación en este tema. Aguardo su respuesta a la brevedad y las instrucciones correspondientes para efectuar el trámite de reclamo.

Cordialmente,

Jacinto Alegre Piquer.",406818.71,1197374-SAN ROQUE,,
